NSN,Description,Unit of Measure,Total Quantity,Kit Count,Unit Price,Accountability Code,Source,Is Kit,Kit Membership
6505-21-866-7943,DIAZEPAM INJ 5MG/ML-2ML,EA,10,1,5.44,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x10"
6505-21-870-8370,FUROSEM INJ 10MG/ML-2ML,EA,8,2,1.74,D,WHSE,,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x3; TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x5"
6505-21-870-8398,BETAMETH VALER 0.1% CRM,TU,12,1,8,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x12"
6505-21-872-2053,SALBUTAMOL INHLR 100MCG,CN,10,3,5,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x6; KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x3; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x1"
6505-21-877-0838,PHENYTOIN 50MG/ML-5ML,EA,10,1,28.9,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x10"
6505-21-878-2195,IBUPROFEN TB/CP 200MG,EA,500,1,0.08,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x500"
6505-21-879-8085,MGSO4 CRYSTALS,BT,4,1,4.05,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x4"
6505-21-879-9785,DIMENHYDRIN 50MG/ML -5ML,EA,25,2,6.94,C,WHSE,,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x1; TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x24"
6505-21-880-6425,METOCLO HCL 5MG/ML-2ML,EA,10,1,5.43,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x10"
6505-21-880-6426,NALOXONE HCL 0.4MG/ML,EA,10,1,13.75,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x10"
6505-21-880-9248,"NAPROXEN, 250MG, TABLETS",EA,1000,1,0.05,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x1000"
6505-21-880-9649,PSEUDOEPHEDRINE HCL TABS 60MG PREPACK,PG,202,2,1.82,C,WHSE,,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x2; TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x200"
6505-21-882-6566,METOPROLOL TART TBS 50MG,EA,100,1,0.06,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x100"
6505-21-882-9481,DIMETHYLPOLYSILOXANE 50G,TU,12,1,4.12,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x12"
6505-21-883-2862,IBUPROFEN TABLETS/CAPLETS 400MG,EA,2100,2,0.08,C,WHSE,,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x100; TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x2000"
6505-21-883-3709,"DEXTROSE 5%, FOR INJECTION, 50ML, IV BAG",BG,4,1,2.92,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x4"
6505-21-883-3725,"SODIUM CHLORIDE 0.9%, FOR INJECTION, 50ML, IV BAG",BG,4,1,2.69,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x4"
6505-21-883-3726,"SODIUM CHLORIDE 0.9%, FOR INJECTION, 100ML, IV BAG",BG,24,1,2.77,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x24"
6505-21-888-4912,NICOTINE RESIN 2 MG,BX,3,1,27.81,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x3"
6505-21-892-3284,ISOPROP ALC 70% - 500ML,BT,4,1,3.13,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x4"
6505-21-892-3316,AMOXICILLIN CP 500MG,EA,500,1,0.13,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x500"
6505-21-893-3466,HYDROCORT SOD SUCC 500MG,VI,5,1,18.33,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x5"
6505-21-893-3729,SILVER SULFADIAZ CRM 1%,TU,36,1,11.4,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x36"
6505-21-893-9739,BENZ PEROX GEL 5% 60G,EA,6,1,9.96,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x6"
6505-21-894-1005,ALGINIC TB ALU,EA,2000,1,0.3,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x2000"
6505-21-894-2130,HALOPERIDOL 5MG/ML (1ML),EA,22,3,4.06,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x10; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x2; TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x10"
6505-21-895-1613,WATER 10ML FOR INJECTION,EA,50,2,0.65,C,WHSE,,"TREATMENT KIT, IV/IO AND FLUIDS, MAJOR NAVAL WARSHIP (6545-20-A0U-8761) x48; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x2"
6505-21-895-1673,ACETAMINOPHEN 325MG TABS ORAL 24 TABS / BOTTLE,BT,203,2,3.48,C,WHSE,,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x3; TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x200"
6505-21-896-0117,CLINDAMYCIN 150MG/ML-2ML,VI,10,2,7.7,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x8; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x2"
6505-21-896-0309,ACETYLCYST INJ 200MG/ML,EA,72,1,27.5,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x72"
6505-21-896-0814,COLLODION 500 ML,BT,1,1,36.5,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x1"
6505-21-896-3157,HEMORRHOIDAL OINT HC 15G,TU,30,1,7.75,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x30"
6505-21-896-3158,HEMORRHOIDAL SUPPS W/HC,BX,36,1,16.75,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x36"
6505-21-896-3724,"LIDOCAINE HYDROCHLORIDE 0.4% & DEXTROSE 5%, FOR INJECTION, 500ML, IV BAG",BG,2,1,13.34,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x2"
6505-21-896-6527,ASA TABS 325MG,EA,100,1,0.07,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x100"
6505-21-897-5922,SOD CHLOR IRR .9% 1000ML,BT,3,1,5.19,C,WHSE,,"TREATMENT KIT, IV/IO AND FLUIDS, MAJOR NAVAL WARSHIP (6545-20-A0U-8761) x3"
6505-21-897-5924,WATER/IRRIGATION 500ML,BT,12,1,3.34,C,WHSE,,"TREATMENT KIT, IV/IO AND FLUIDS, MAJOR NAVAL WARSHIP (6545-20-A0U-8761) x12"
6505-21-899-7534,CYCLOBENZAPR TB-FC 10MG,EA,400,1,0.38,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x400"
6505-21-902-2080,IPRATROPIUM ORAL INHALER,EA,3,2,11.72,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x2; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x1"
6505-21-902-2454,"SOLUTION, METRONIDAZOLE INWTR F/INJ, 500MG/100ML, 40/CASE",BG,6,1,6.25,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x6"
6505-21-902-2456,FENTANYL INJ 0.1MG/2ML,EA,5,1,4.77,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x5"
6505-21-902-2473,"CHARCOAL-ACTIVATED, AND SORBITOL SUSPENSION CHARCOAL / SORBITOL 50-50G/250ML ORAL SUSPENSION",BT,12,1,21.43,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x12"
6505-21-902-2777,"OXYMETAZOLINE HYDROCHLORIDE, 0.05%, BOTTLE NASAL SOLUTION",BT,24,1,6.89,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x24"
6505-21-903-0757,CEFAZOLIN 1GM (10ML)INJ,VI,20,1,5.41,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x20"
6505-21-904-7233,DOXYCYC HYCL CP/TB 100MG,EA,1000,1,0.12,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x1000"
6505-21-907-7580,"OXYGEN 93% CONCENTRATED, 6840L, COMPLETE WITH SIZE-K CYLINDER",EA,2,1,1142.15,C,WHSE,,"TREATMENT KIT, MAJOR MEDICAL EQUIPMENT AND RELATED CONSUMABLES, MAJOR NAVAL WARSHIP, MEDICAL TREATMENT FACILITY. (6545-20-A0U-9002) x2"
6505-21-907-7815,"BISMUTH SUSALICYATE & CALCIUM CARBONATE CHEWABLE TABS, 24's",PG,49,2,3.5,C,WHSE,,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x1; TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x48"
6505-21-907-8031,VIT K1 10MG/ML INJ 1ML,EA,5,1,6.24,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x5"
6505-21-907-8172,CEFTRIAX SOD INJ 0.25GM,BT,20,1,2.38,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x20"
6505-21-908-1923,BECLO DIP NAS IHLR 50MCG,BT,6,1,11.89,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x6"
6505-21-909-0883,CETIRIZINE HCL TB 10MG,EA,500,1,0.04,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x500"
6505-21-910-7221,DIMENHYD TB 50MG PP25-30,PG,100,1,3.54,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x100"
6505-21-910-7352,SULFAM-TRIMET 160/800MG,EA,500,1,0.22,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x500"
6505-21-911-1810,NICOTINE PATCH 7MG/DAY,BX,3,1,18.01,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x3"
6505-21-911-1811,NICOTINE PATCH 14MG/DAY,BX,3,1,19.03,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x3"
6505-21-911-1812,"PATCH, NICOTINE, TRANSDERMAL, 21MG",BX,3,1,19.29,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x3"
6505-21-911-2155,DESOGESTREL/ETHINYL 21'S,PG,6,1,21.11,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x6"
6505-21-911-2726,PERMETHRIN 5% CRM 30GM,TU,12,1,15.53,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x12"
6505-21-912-4580,SOD CHLOR NASAL SOLN 0.9% 30ML W/0.03% BENZALKONIUM CHLORIDE DROPS FOR CHILDREN,BT,12,1,4.42,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x12"
6505-21-912-4732,DEXAMETHASONE TABLETS 4MG,EA,100,1,0.09,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x100"
6505-21-912-4766,HALOPERIDOL 2.0MG TABS,EA,100,1,0.32,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x100"
6505-21-912-4939,IPRATROP INHL SOL .025%,EA,14,2,6.12,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x4; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x10"
6505-21-912-4940,KETAMINE HYDROCHLORIDE,EA,5,1,28,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x5"
6505-21-912-4953,ONDANSETRON 2MG/ML-20ML,EA,1,1,130.46,D,WHSE,,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x1"
6505-21-912-4976,SALICYLIC ACID SOLN 27%,BT,6,1,15.14,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x6"
6505-21-912-4977,SALICYLIC ACID SHAMP.4%,BT,12,1,8.52,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x12"
6505-21-912-6210,CEFTRIAXONE SOD PWDR 2GM,EA,20,1,19.31,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x20"
6505-21-912-6275,CLARITHROMYCN TABS 250MG,EA,500,1,0.29,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x500"
6505-21-912-6280,CLOXACIL PWDR INJ 2GM,EA,20,1,31.88,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x20"
6505-21-912-6283,CYCLOPENTOLATE 1% 15ML,BT,2,1,19.05,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x2"
6505-21-912-6381,"ONDANSETRON HCL TABLETS 8MG ORAL, BLISTER PACK",EA,10,1,4.65,D,WHSE,,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x10"
6505-21-912-7153,AZITHROMYCIN TABS 250MG,EA,100,1,0.64,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x100"
6505-21-912-7265,FLUMAZENIL 0.1MG/ML-5ML,EA,2,1,24.44,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x2"
6505-21-912-7294,MGSO4 50% INJ 10ML AMPUL,EA,10,1,8.11,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x10"
6505-21-912-7357,PHENYLEPH 10MG/ML - 1ML,EA,10,1,4.13,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x10"
6505-21-912-7370,SENNA CONCENTRATE 8.6MG,EA,100,1,0.05,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x100"
6505-21-912-7528,CLOTRIMAZOLE TMT KIT,PG,6,1,14.84,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x6"
6505-21-912-7745,FAMCICLOVIR TABS 500MG,EA,300,1,2.49,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x300"
6505-21-913-5273,MIDAZOLAM 1MG/ML - 10ML,EA,7,2,5.68,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x5; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x2"
6505-21-913-5285,ROCURON INJ 10MG/ML-5ML,EA,10,1,5.18,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x10"
6505-21-913-6604,CHLORHEX GLUCO 4%-450ML,EA,4,2,6.53,C,WHSE,,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x1; TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x3"
6505-21-913-6901,AMOX CLAV ACD TB 500MG,EA,100,1,0.37,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x100"
6505-21-913-9488,DIHYDROERGOTAMINE 4MG/ML,BX,1,1,59.28,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x1"
6505-21-914-4258,EPINEPH 0.30MG AUTO-INJ,EA,3,2,85.42,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x2; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x1"
6505-21-914-4277,METHYLPREDNIS PWDR 1GM,EA,10,1,73.69,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x10"
6505-21-914-4293,ADENOS INJ 3MG/ML - 2ML,EA,6,1,65.76,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x6"
6505-21-914-4709,DILTIAZ INJ 5MG/ML-10ML,VI,5,1,38.51,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x5"
6505-21-914-7964,LOPERAMIDE HCL 2MG TABLETS,EA,500,1,0.09,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x500"
6505-21-920-2716,NITRO SUBLING 0.4MG/DOSE,BT,3,2,14.93,C,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x2; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x1"
6505-21-920-8323,CIPROFLOXACIN 'MINIBAG',EA,6,1,28.36,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x6"
6505-CF-001-0515,L-NORGEST TRIQUILAR 21'S,PG,6,1,15.75,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x6"
6505-CF-001-0688,LORAZEPAM SUB-L TABS 1MG,EA,100,1,0.17,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x100"
6505-CF-001-2163,KETOROLAC TROMETHAMINE 30MG/ML INJECTION 1ML AMPUL OR VIAL - SEE COMMENTS,AM,10,1,3.54,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x10"
6505-CF-001-3541,HYDROMORPHONE 10MG/ML,AM,5,1,12.1,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x5"
6505-CF-001-4283,"DEXTROSE 10%, FOR INJECTION, 500ML, IV BAG",EA,7,2,3.07,C,WHSE,,"TREATMENT KIT, IV/IO AND FLUIDS, MAJOR NAVAL WARSHIP (6545-20-A0U-8761) x6; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x1"
6505-CF-001-6629,"OXYGEN 93% CONCENTRATED, 637L, COMPLETE WITH JUMBO D CYLINDER",EA,20,1,306.38,C,WHSE,,"TREATMENT KIT, MAJOR MEDICAL EQUIPMENT AND RELATED CONSUMABLES, MAJOR NAVAL WARSHIP, MEDICAL TREATMENT FACILITY. (6545-20-A0U-9002) x20"
6505-CF-001-6733,CHLORH GLUC ORAL .12%,BT,1,1,12.48,D,WHSE,,"KIT, R1, DENTAL EMERGENCY, PA/MO (6545-CF-005-0890) x1"
6505-CF-001-7492,DEXTROSE ORAL LIQ 31GM,TU,2,1,5.15,C,WHSE,,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x2"
6505-CF-001-7742,"TROPICAMIDE 1%, OPHTHALMIC SOLUTION, DROPERETTE",EA,10,1,2.83,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x10"
6505-CF-001-8006,CEFIXIME 400 MG TABLET,PG,40,1,15.65,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x40"
6505-CF-001-8243,"DOPAMINE 200MG & DEXTROSE 5%, FOR INJECTION, 250ML, IV BAG",EA,10,1,35.85,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x10"
6505-CF-001-8302,FLUCONAZOLE 150MG TABS,EA,5,1,1.58,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x5"
6505-CF-001-8609,CIPROFLOXACIN OPTHT 0.3%,BT,2,1,10.4,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x2"
6505-CF-001-8962,ANESTHETIC BUPIVACAIN,BX,0.2,1,120.23,C,WHSE,,"KIT, R1, DENTAL EMERGENCY, PA/MO (6545-CF-005-0890) x0.2"
6505-CF-001-9089,HUMIDIFIER BUBBLE 500ML,BT,2,2,2.6,C,WHSE,,"TREATMENT KIT, ENT, UROLOGY, OPHTHALMO, CHEST, GI AND GENERAL (6545-20-A0U-8765) x1; TREATMENT KIT, MAJOR MEDICAL EQUIPMENT AND RELATED CONSUMABLES, MAJOR NAVAL WARSHIP, MEDICAL TREATMENT FACILITY. (6545-20-A0U-9002) x1"
6505-CF-001-9296,"POTASSIUM CHLORIDE 0.15% & SODIUM CHLORIDE 0.9%, FOR INJECTION, 1000 ML, IV BAG",EA,12,1,4.03,C,WHSE,,"TREATMENT KIT, IV/IO AND FLUIDS, MAJOR NAVAL WARSHIP (6545-20-A0U-8761) x12"
6505-CF-001-9319,MELOXICAM 7.5 MG,EA,100,1,0.2,D,WHSE,,"KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x100"
6505-CF-001-9530,ACYCLOVIR 500MG 50MG/ML,VI,15,1,130.87,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x15"
6505-CF-002-0407,TENECTEPLASE 50MG,EA,2,1,3295.38,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x2"
6505-CF-002-0446,"TETRACAINE HCL OPHTHALMIC 0.5% SOLUTION 0.5ML ""MINIMS"" (TM)",EA,2,1,2.83,C,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x2"
6505-CF-002-0464,LEVONORGESTREL ETHINYL,PG,6,1,3.94,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x6"
6505-CF-002-1309,"SODIUM CHLORIDE 3%, FOR INJECTION, 250ML, IV BAG",BG,4,1,3.73,C,WHSE,,"TREATMENT KIT, IV/IO AND FLUIDS, MAJOR NAVAL WARSHIP (6545-20-A0U-8761) x4"
6505-CF-002-1954,"TRANEXAMIC ACID, LIQUID INJECTION, 100MG/ML, 10ML VIAL",EA,10,2,30.18,D,WHSE,,"KIT, TMT CRASH CART, MAJOR WARSHIP, MEDICAL TREATMENT FACILITY (6545-20-A0U-7793) x8; KIT, TREATMENT, MEDICATIONS, MED TECH BAG (6545-CF-002-8529) x2"
6505-CF-002-1967,VALSARTAN 40MG TABLET,EA,100,1,0.41,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x100"
6505-CF-002-6015,CIPRO DEXA OTIC SUSP,BT,6,1,20.39,D,WHSE,,"TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x6"
6505-CF-002-6027,BENZOCNE 10% GEL 5.3G TU,TU,7,2,5.42,C,WHSE,,"KIT, R1, DENTAL EMERGENCY, PA/MO (6545-CF-005-0890) x1; TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x6"
6505-CF-002-6068,SODIUM BICARB 8.4% INJ,VI,9,2,18.22,C,WHSE,,"KIT, MARITIME R1 MTF, MASCAL, EVACUATION, TRAUMA (6545-CF-005-0438) x3; TREATMENT KIT, MEDICATIONS, MAJOR NAVAL WARSHIP (6545-20-A0U-8754) x6"
